Time(s),Position(m),Velocity(m/s)
0.00,2.00,49.00
0.10,6.90,48.02
0.20,11.70,47.04
0.30,16.41,46.06
0.40,21.01,45.08
0.50,25.52,44.10
0.60,29.93,43.12
0.70,34.24,42.14
0.80,38.46,41.16
0.90,42.57,40.18
1.00,46.59,39.20
1.10,50.51,38.22
1.20,54.33,37.24
1.30,58.06,36.26
1.40,61.68,35.28
1.50,65.21,34.30
1.60,68.64,33.32
1.70,71.97,32.34
1.80,75.21,31.36
1.90,78.34,30.38
2.00,81.38,29.40
2.10,84.32,28.42
2.20,87.16,27.44
2.30,89.91,26.46
2.40,92.55,25.48
2.50,95.10,24.50
2.60,97.55,23.52
2.70,99.90,22.54
2.80,102.16,21.56
2.90,104.31,20.58
3.00,106.37,19.60
3.10,108.33,18.62
3.20,110.19,17.64
3.30,111.96,16.66
3.40,113.62,15.68
3.50,115.19,14.70
3.60,116.66,13.72
3.70,118.03,12.74
3.80,119.31,11.76
3.90,120.48,10.78
4.00,121.56,9.80
4.10,122.54,8.82
4.20,123.42,7.84
4.30,124.21,6.86
4.40,124.89,5.88
4.50,125.48,4.90
4.60,125.97,3.92
4.70,126.36,2.94
4.80,126.66,1.96
4.90,126.85,0.98
5.00,126.95,0.00
5.10,126.95,-0.98
5.20,126.85,-1.96
5.30,126.66,-2.94
5.40,126.36,-3.92
5.50,125.97,-4.90
5.60,125.48,-5.88
5.70,124.89,-6.86
5.80,124.21,-7.84
5.90,123.42,-8.82
6.00,122.54,-9.80
6.10,121.56,-10.78
6.20,120.48,-11.76
6.30,119.31,-12.74
6.40,118.03,-13.72
6.50,116.66,-14.70
6.60,115.19,-15.68
6.70,113.62,-16.66
6.80,111.96,-17.64
6.90,110.19,-18.62
7.00,108.33,-19.60
7.10,106.37,-20.58
7.20,104.31,-21.56
7.30,102.16,-22.54
7.40,99.90,-23.52
7.50,97.55,-24.50
7.60,95.10,-25.48
7.70,92.55,-26.46
7.80,89.91,-27.44
7.90,87.16,-28.42
8.00,84.32,-29.40
8.10,81.38,-30.38
8.20,78.34,-31.36
8.30,75.21,-32.34
8.40,71.97,-33.32
8.50,68.64,-34.30
8.60,65.21,-35.28
8.70,61.68,-36.26
8.80,58.06,-37.24
8.90,54.33,-38.22
9.00,50.51,-39.20
9.10,46.59,-40.18
9.20,42.57,-41.16
9.30,38.46,-42.14
9.40,34.24,-43.12
9.50,29.93,-44.10
9.60,25.52,-45.08
9.70,21.01,-46.06
9.80,16.41,-47.04
9.90,11.70,-48.02
